Germany,India,Italy,South Korea,New Zealand,Singapore,Somalia,Uganda,UK,USA
183879,207191,233515,11590,1504,35836,2089,489,260453,1837656
184121,216824,233836,11629,1504,36405,2146,507,261802,1857511
184472,226713,234013,11668,1504,36922,2204,522,263040,1879150
184924,236184,234531,11719,1504,37183,2204,557,264150,1904550
185450,246622,234801,11776,1504,37527,2289,593,264944,1925710
185750,257486,234998,11814,1504,37910,2334,616,265662,1943626
186109,265928,235278,11852,1504,38296,2368,646,266756,1961263
186506,276146,235561,11902,1504,38514,2416,657,267915,1979647
186522,286605,235763,11947,1504,38965,2452,665,269101,2000757
186691,297535,236142,12003,1504,39387,2513,679,270108,2023890
187226,308993,236305,12051,1504,39850,2513,686,271162,2048756
187267,320922,236651,12085,1504,40197,2579,694,272050,2073964
187518,332424,236989,12121,1504,40604,2618,696,272857,2092912
187682,343091,237290,12155,1506,40818,2642,705,273888,2112731
188252,354065,237500,12198,1506,40969,2658,724,274971,2136401
188604,366946,237828,12257,1507,41216,2696,732,275970,2163465
189817,380532,238159,12306,1507,41473,2719,741,276990,2191991
190299,395048,238011,12373,1509,41615,2719,755,277974,2223553
190670,410451,238275,12421,1511,41833,2755,763,278640,2255823
191272,425282,238499,12438,1513,42095,2779,770,279264,2280971
191768,440215,238720,12484,1515,42313,2812,774,280156,2313123
192480,456183,238833,12535,1516,42432,2812,797,281038,2350198
192871,473105,239410,12563,1519,42623,2835,805,281815,2386074
193371,490401,239706,12602,1520,42736,2878,821,282512,2426391
194036,508953,239961,12653,1522,42955,2878,833,283151,2472385
194458,528859,240136,12715,1526,43246,2878,848,283785,2513731
194693,548318,240310,12757,1528,43459,2894,859,284192,2554461
195042,566840,240436,12800,1528,43661,2904,870,284812,2595744
195418,585481,240578,12850,1528,43907,2924,889,285216,2642174
195893,604641,240760,12904,1530,44122,2924,893,285279,2693993
196370,625544,240961,12967,1530,44310,2944,902,285285,2750622
196780,648315,241184,13030,1530,44479,2944,911,285787,2801983
197198,673165,241419,13091,1533,44664,2961,927,286412,2847664
197523,697413,241611,13137,1534,44800,2997,939,286931,2898432
198064,719664,241819,13181,1536,44983,3006,953,287290,2941517
198343,742417,241956,13244,1537,45140,3015,971,287874,3002171
198699,767296,242149,13293,1540,45298,3028,977,288511,3062290
199001,793802,242363,13338,1542,45423,3038,1000,289154,3124786
199332,820916,242639,13373,1543,45614,3038,1006,289678,3192841
199709,849522,242827,13417,1544,45783,3051,1013,290504,3252874
199919,878254,243061,13479,1544,45961,3059,1025,291154,3311312
200180,906752,243230,13512,1545,46283,3072,1029,291691,3370208
